city_name,title,address,latitude,longitude,comment
Romans-sur-Isère,Allianz Fulvio MANNINO,"17 Cours Pierre Didier, 26100 Romans-sur-Isère, France",45.0454,5.0481663,"Ouverte du lundi au vendredi de 9h00 à 12h00 et sans accueil du public.

Téléphone : 04 75 02 25 60 "
Romans-sur-Isère,Ginet Santé -Bébécash,"23 Place Jean Jaurès Bis, 26100 Romans-sur-Isère, France",45.045147,5.054146,"Location et vente de matériel médical et produit d’incontinence bébé

(peut assurer les livraisons de lits, fauteuils roulants pour sortie d’hôpital)

Ouvert : du lundi au samedi matin : 8h30 - 12h et 13h30 – 18h

Livraison gratuite à domicile - Joignable non stop par téléphone au 04 75 05 37 71 ou 06 72

87 78 74 "
Romans-sur-Isère,Teysseire Daniel,"6 Place Presle, 26100 Romans-sur-Isère, France",45.042942,5.0459843,"Ouverte du mardi au dimanche de 7h30 à 13h

Possibilité de livraison avec paiement en carte bleue "
Romans-sur-Isère,Lidl,"24 Rue Louis le Cardonnel, 26100 Romans-sur-Isère, France",45.054848,5.042749,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,Lidl,"8 Avenue des Allobroges, 26100 Romans-sur-Isère, France",45.050907,5.082407,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,Super U et drive,"56 Avenue Gambetta, 26100 Romans-sur-Isère, France",45.045963,5.0610356,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,Hyper U and drive,"Route de Tain, 26100 Romans-sur-Isère, France",45.04435,5.0302544,8h/18h avec accès prioritaire de 8 a 8h30 pour le personnel soignant/seniors/femme enceinte
Romans-sur-Isère,E.Leclerc Saint Paul Les Romans,"95 Rue Clair, 26750 Saint-Paul-lès-Romans, France",45.05859,5.101887,
Romans-sur-Isère,Utile,"18 Avenue Emile Zola, 26100 Romans-sur-Isère, France",45.04983,5.0575786,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,Provenc'Halles,"4 Avenue de la Déportation, 26100 Romans-sur-Isère, France",45.0498,5.079942,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,Biocoop Ferme Bio,"5 Avenue des Allobroges, 26100 Romans-sur-Isère, France",45.05127,5.080525,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,"Horaires exceptionnels, RDV sur notre site - Grand Frais Romans-sur-Isère","33 Avenue des Allobroges, 26100 Romans-sur-Isère, France",45.055553,5.090684,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,SPAR,"7 Avenue Jean Moulin, 26100 Romans-sur-Isère, France",45.050556,5.0471287,
Romans-sur-Isère,Cadier Denis,"46 Place Jean Jaurès, 26100 Romans-sur-Isère, France",45.04608,5.0520678,"46, place Jean Jaurès

Horaires: du lundi au samedi de 7h30 à 12h30 et 14h30 à 18h30

Fermé (temporairement) le dimanche "
Romans-sur-Isère,Rayon de Vie,"11 bis Rue de la République, 26100 Romans-sur-Isère, France",45.046528,5.0516415,☎️ Appeler avant de vous deplacer 0475052367 
Romans-sur-Isère,Aux Galets de l'Isère,"7 Place Maurice Faure, 26100 Romans-sur-Isère, France",45.042763,5.0493193,"Ouvert du mercredi au samedi, de 7h-13h et 16h-18h et le dimanche 7h-13h"
Romans-sur-Isère,Lili Croustille,"41 Cours Pierre Didier, 26100 Romans-sur-Isère, France",45.045193,5.046584,Ouvert de 7h-15h 
Romans-sur-Isère,La Fabrique,"1082 Chemin de Devienne, 26100 Romans-sur-Isère, France",45.05791,5.064031,Ouvert de 7h-19h 
Romans-sur-Isère,Carrefour Express,"18 Rue Dr Perret, 26100 Romans-sur-Isère, France",45.045883,5.048508,
Romans-sur-Isère,Aux _ Délices de Romans,"53 Rue Saint-Nicolas, 26100 Romans-sur-Isère, France",45.042923,5.0520806,"7h30 - 13h (durant la crise)

du mardi au dimanche "
Romans-sur-Isère,Pognes Mourier,"58 Place Jean Jaurès, 26100 Romans-sur-Isère, France",45.046005,5.0511537,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,Boulangerie Marie Blachère,"4 Avenue de la Déportation, 26100 Romans-sur-Isère, France",45.049984,5.079963,Ouvert de 7h30 à 18h 
Romans-sur-Isère,Breyton Et Fils Sarl,"4 Cours Pierre Didier, 26100 Romans-sur-Isère, France",45.045868,5.0488834,Ouvert le matin
Romans-sur-Isère,Boulangerie Pâtisserie Bédouin,"64 Place Jean Jaurès, 26100 Romans-sur-Isère, France",45.04599,5.0509114,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,Boucherie Du Cours,"39 Cours Pierre Didier, 26100 Romans-sur-Isère, France",45.04524,5.0471816,☎️ Appeler avant de vous deplacer
Romans-sur-Isère,La Petite Ferme,"26100 Romans-sur-Isère, France",45.046066,5.052605,"Fruits Légumes et Fromages

Ouverte de 8h30 à 14h30 - Dimanche 8h30 à 12h "
Romans-sur-Isère,La Mie Câline,"76 Place Jean Jaurès, 26100 Romans-sur-Isère, France",45.045963,5.0501895,"Pains et viennoiseries

Ouvert tous les jours de 7h à 15h "
Romans-sur-Isère,La Nougatine,"26100 Romans-sur-Isère, France",45.045635,5.0472064,
